"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Variant Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Requires Shipping","Variant Taxable","Variant Weight","Variant Weight Unit","Image Src","Image Position"
"arapellet-77-sacos","ARAPELLET – 77 SACOS","<p>Pellets de madera Arapellet, una opción eficiente, ecológica y económica para mantener tu hogar cálido durante todo el año. Este producto se presenta en un formato palet que incluye 77 sacos, cada uno con 15 kg de pellets elaborados a partir de madera de pino de alta calidad.</p>
<p>Los pellets Arapellet cuentan con doble certificación, lo que garantiza su alta calidad y cumplimiento con los estándares europeos de sostenibilidad y eficiencia energética.</p>
<p>Gracias a su alto poder calorífico y baja producción de cenizas, los pellets de madera Arapellet son una opción ideal para cualquier sistema de calefacción a pellets.</p>
<p>Disponemos de ENTREGA GRATIS en toda España</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","210.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/45-large_default/arapellet-77-sacos.jpg",1
"bioforestal-70-sacos","BIOFORESTAL – 70 SACOS","<p>Pellet procedente de madera 100% natural, sin aditivos, descortezada, astillada, secada y prensada.</p>
<p>Certificado ENPlus A1 (Nº IDENTIFICACIÓN: ES013) y DINPlus (Nº IDENTIFICACIÓN: 7A279).</p>
<p>Proporciona un calor ecológico, limpio y seguro.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","225.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/44-large_default/bioforestal-70-sacos.jpg",1
"biogramasa-pellet-60-sacos","BIOGRAMASA – PELLET 60 SACOS","<p>Pellet 100% pino, de marca Biogramasa.</p>
<p>palet con 60 sacos</p>
<p>Disponemos de ENTREGA GRATIS en toda España</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","199.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/43-large_default/biogramasa-pellet-60-sacos.jpg",1
"burpellet-palet-72-sacos","BURPELLET – PALET 72 SACOS","<p>BURPELLET, palet de 72 sacos. Pellets PREMIUM, Ofrecen gran poder calorífico y muy poca ceniza.</p>
<p>Cuentan con doble certificación DINplus clase A1 y En Plus A1.</p>
<p>Calidad a buen precio BURPELLET.</p>
<p>Presentado en palet de 72 sacos.</p>
<p>Proporciona un calor ecológico, limpio y seguro.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","205.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/42-large_default/burpellet-palet-72-sacos.jpg",1
"carbon-verde-pellet-88-sacos","CARBÓN VERDE PELLET – 88 SACOS","<p>Pellet Carbón Verde presentado en palet de 88 sacos.</p>
<p>Certificación En Plus A1. ES 309</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","210.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/41-large_default/carbon-verde-pellet-88-sacos.jpg",1
"cyl-pellet-palet-de-77-sacos","CYL PELLET – PALET DE 77 SACOS","<p>Pellet de gran calidad, este pellet cuenta con un porcentaje muy bajo de cenizas, por lo que apenas generará residuo a la vez que el poder calorífico es superior a otras gamas de pellets.</p>
<p>Este año, CYL Pellet, cuenta además con la certificación Din Plus.</p>
<p>BURPELLET, ha dado un paso más allá con&nbsp; la adquisición de la planta de valorización de biomasa de Huerta de Rey (antigua planta RIBPELLET que comenzó a funcionar en 2012) incorporando a su línea de producción una nueva marca CYLpellet.</p>
<p>Palet de 77 sacos de 15 kilos de pellets.</p>
<p>Proporciona un calor ecológico, limpio y seguro.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","199.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/40-large_default/cyl-pellet-palet-de-77-sacos.jpg",1
"ebepellet-77-sacos-de-pellets","EBEPELLET – 77 SACOS DE PELLETS","<p>Pellet de madera conífera 100%. Cuenta con la certificación Din Plus.</p>
<p>En formato Palet de 77 sacos</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","240.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/39-large_default/ebepellet-77-sacos-de-pellets.jpg",1
"eco-mind-palet-de-70-sacos","ECO MIND – PALET DE 70 SACOS","<p>Palet de 70 sacos ECOMIND pellets.</p>
<p>Pellet de madera con certificado de calidad ENPlus A1 (ES303)</p>
<p>La materia prima es madera natural descortezada sin aditivos, 90 % madera de pino.</p>
<p>Disponemos de ENTREGA GRATIS en toda España</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","210.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/38-large_default/eco-mind-palet-de-70-sacos.jpg",1
"erta-palet-77-sacos","ERTA PALET 77 SACOS","<p>Pellet de madera conífera 100%. Cuenta con la certificación En PlusA1.</p>
<p>En formato Palet de 77 sacos</p>
<p>Disponemos de ENTREGA GRATIS en toda España</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","205.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/37-large_default/erta-palet-77-sacos.jpg",1
"galpellet-palet-77-sacos","GALPELLET – PALET 77 SACOS","<p>Pellets premium de madera de pino 100%.</p>
<p>Producto natural, sin aditivos.</p>
<p>Gracias a su alto poder calorífico y baja producción de cenizas, los pellets de madera Galpellet son una opción ideal para cualquier sistema de calefacción a pellets.</p>
<p>Disponemos de ENTREGA GRATIS en toda España.</p>
<p>Pellets Certificados al Mejor | Entrega gratis y Rápida</p>
<p>Productos de calefacción ecológicos. Envío urgente Gratis desde España, una oferta especializada.</p>","Maderas y Palets San Cristobal Sl","Pellets","pellets,biomasse,chauffage","TRUE","Titre","Par défaut","245.00","","","deny","manual","TRUE","TRUE","","kg","https://pelletsherrera.es/36-large_default/galpellet-palet-77-sacos.jpg",1
